Country,legal_status,framework,regulator,deadline_iso,lifecycle_stage_raw,trigger_type_raw,deadline_proximity,adoption,aml_cft_maturity,enforcement_intensity,market_volume_tier,institutional_depth,non_compliance_gap,demand_signal_momentum,conf_adoption,conf_aml,conf_enforcement,conf_volume,conf_deadline,conf_lifecycle,conf_trigger,source_deadline,source_framework,source_adoption,source_aml,as_of_date,notes
Nigeria,Legal – Regulated,ISA 2025 (Investment & Securities Act) + SEC VASP rules,SEC Nigeria + CBN,2026-06-30,5,5,5,5,3,3,4,3,5,4,High,Medium,Medium,Medium,High,High,High,https://sec.gov.ng,Federal Republic Gazette 2025,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Nigeria 2021,2025-10-20,ISA 2025 enacted; VASP registration; SEC takes lead.
Kenya,Legal – Regulated,Virtual Asset Service Providers Bill 2025,CMA + CBK,2026-10-01,5,5,4,4,2,2,3,2,5,5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,https://www.cma.or.ke,Kenya Parliament 2025,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF ESAAMLG 2022,2025-12-01,VASP Bill passed 2025 with phased implementation; supplementary regs late 2026.
Lithuania,Legal – MiCA,MiCA + Bank of Lithuania CASP,BoL,2026-07-30,5,5,5,3,4,3,3,3,4,4,Medium,High,Medium,High,High,High,High,https://www.lb.lt/en/news/full,Regulation (EU) 2023/1114,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Lithuania 2018,2025-10-20,Largest historical EU VASP-licensing hub; ~500+ legacy VASPs migrating to CASP.
Poland,Legal – MiCA,MiCA + KNF transition,KNF,2026-07-30,5,5,5,3,3,3,3,3,4,4,Medium,Medium,Medium,Medium,High,High,High,https://www.knf.gov.pl/en,Regulation (EU) 2023/1114,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Poland 2021,2025-10-20,KNF VASP transition; significant retail market.
Australia,Legal – Regulated,Treasury digital asset platforms bill 2025,ASIC + AUSTRAC,2027-03-31,3,5,5,4,4,3,4,4,4,5,Medium,High,Medium,Medium,Medium,High,Medium,https://treasury.gov.au/consultation/c2024-579843,ALRC + Treasury,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Australia 2015,2025-10-20,DAP bill late-2025 introduced; transition runway. May land in 18-24mo bucket.
United States,Legal – Regulated,GENIUS Act stablecoin + multi-agency framework,Multiple (OCC FRB SEC CFTC),2026-12-31,3,3,5,5,5,5,5,3,5,5,High,High,High,High,High,High,High,https://www.congress.gov/bill/119th-congress/genius-act,https://www.federalreserve.gov,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER USA 2016,2025-10-20,GENIUS in enforcement phase. Net-new licensing limited; biggest CertiK angle is stablecoin audit + state-VASP MTL.
Taiwan,Legal – Regulated,VASP Act 2025,FSC,2026-09-30,5,4,5,3,3,3,3,3,4,4,Medium,Medium,Medium,Medium,High,High,High,https://www.fsc.gov.tw,Legislative Yuan 2025,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF APG 2018,2025-10-20,VASP Act passed 2025; FSC licensing 2026.
Japan,Legal – Regulated,PSA + FIEA 2025 amendments,FSA + JFSA,2027-04-01,3,4,3,4,5,5,5,3,3,4,High,High,High,High,Medium,High,High,https://www.fsa.go.jp,National Diet 2025,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Japan 2021,2025-10-20,2025 amendments expand investor protection. Outside 6-18mo sweet spot.
UAE,Legal – Progressive,VARA (Dubai) + ADGM + Federal Decree-Law,VARA + ADGM FSRA + SCA,2027-01-01,3,4,3,4,5,5,4,3,3,4,High,High,Medium,Medium,Medium,Medium,Medium,https://www.vara.ae,Dubai Government 2022/2025,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MENAFATF 2020,2025-10-20,VARA + ADGM mature; expanding scope but not net-new licensing window.
South Korea,Legal – Regulated,VAUPA + token-classification + DBAA Phase 2,FSC + FSS,2027-07-01,3,4,4,4,4,4,5,3,4,4,High,High,High,High,Medium,Medium,Medium,https://www.fsc.go.kr/eng,National Assembly 2023/2025,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Korea 2020,2025-10-20,Phase 2 token classification rules forthcoming; institutional access expanding.
