Country,Region,Priority Tier,Adoption Score (adj),AML Maturity (1-5),Enforcement (1-5),Compliance Complexity (1-5),Market Opportunity (1-5),COMPOSITE SCORE,Legal Status,Primary Compliance Needs,Sales Focus Area
Hong Kong,Asia-Pacific,TIER 1,3,5,4,5,5,25.5,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | Enforcement defense & regulatory advisory | VASP licensing support,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Nigeria,Sub-Saharan Africa,TIER 1,4,3,3,3,5,25.5,Legal – Regulated,VASP licensing support | CBDC compliance readiness,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Canada,North America,TIER 1,4,4,3,4,4,25.0,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support | Complex multi-regulator navigation,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Vietnam,Asia-Pacific,TIER 1,5,2,2,2,5,25.0,Legal – Formal (Jan 2026),VASP licensing support,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
France,Europe – EU,TIER 1,3,5,3,4,4,24.5,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Mexico,North America,TIER 2,4,3,3,3,4,23.5,Legal – Restricted,VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Netherlands,Europe – EU,TIER 1,3,5,4,5,4,23.5,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | Enforcement defense & regulatory advisory,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Japan,Asia-Pacific,TIER 1,3,5,4,5,4,23.5,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | Enforcement defense & regulatory advisory | VASP licensing support,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Australia,Asia-Pacific,TIER 1,3,4,3,4,4,23.0,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support | Complex multi-regulator navigation,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Thailand,Asia-Pacific,TIER 2,3,4,3,3,4,23.0,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support | CBDC compliance readiness,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Turkey,Middle East,TIER 2,3,3,4,4,4,22.5,Legal – Payment Ban,Travel Rule infrastructure | Enforcement defense & regulatory advisory | VASP licensing support | Complex multi-regulator navigation,"Immediate outreach – Full compliance suite: KYC/AML, Travel Rule, VASP licensing support"
Georgia,Eastern Europe,TIER 2,5,2,1,2,4,22.0,Legal – Light-touch,VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Spain,Europe – EU,TIER 2,3,4,3,4,3,21.0,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Italy,Europe – EU,TIER 2,3,4,3,4,3,21.0,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
South Africa,Sub-Saharan Africa,TIER 1,2,4,3,3,4,21.0,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Priority outreach – Compliance platform, regulatory advisory, transaction monitoring"
Pakistan,Asia-Pacific,TIER 2,5,1,1,1,4,20.5,Legal – Gray Zone,Market education / monitoring,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Indonesia,Asia-Pacific,TIER 2,3,3,2,3,4,20.5,Legal – Regulated,VASP licensing support | CBDC compliance readiness,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Argentina,Latin America,TIER 2,3,3,2,3,4,20.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Estonia,Europe – EU,TIER 2,2,4,3,3,3,19.0,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Poland,Europe – EU,TIER 2,3,3,2,3,3,18.5,Legal – MiCA,MiCA CASP compliance & passporting | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Philippines,Asia-Pacific,TIER 2,3,3,2,2,3,18.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support | CBDC compliance readiness,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Ethiopia,Sub-Saharan Africa,TIER 2,4,1,1,1,4,18.5,Legal – Gray Zone,Market education / monitoring,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Kazakhstan,Central Asia,TIER 2,3,3,2,2,3,18.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support | CBDC compliance readiness,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Moldova,Eastern Europe,TIER 2,5,1,1,1,3,18.5,Legal – Gray Zone,Market education / monitoring,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Malta,Europe – EU,TIER 2,2,4,2,3,3,18.0,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Portugal,Europe – EU,TIER 2,2,4,2,3,3,18.0,Legal – MiCA,MiCA CASP compliance & passporting | Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Bermuda,Caribbean,TIER 2,1,4,2,3,4,18.0,Legal – Progressive,Advanced AML/transaction monitoring | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Russia,Europe – Other,TIER 4,4,2,2,4,2,17.0,Partial Ban – Sanctions,VASP licensing support | CBDC compliance readiness | Complex multi-regulator navigation,Watch list – Early regulatory signals; prepare for transition
Bahrain,Middle East,TIER 2,1,4,3,3,3,17.0,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Lithuania,Europe – EU,TIER 2,2,3,2,3,3,16.5,Legal – MiCA,MiCA CASP compliance & passporting | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Malaysia,Asia-Pacific,TIER 2,2,3,2,3,3,16.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support | CBDC compliance readiness,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Taiwan,Asia-Pacific,TIER 2,2,3,2,3,3,16.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Israel,Middle East,TIER 2,2,3,2,3,3,16.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Colombia,Latin America,TIER 2,2,3,2,2,3,16.5,Legal – Supervised,VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
El Salvador,Latin America,TIER 2,2,3,2,2,3,16.5,Legal – Progressive,Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Chile,Latin America,TIER 2,2,3,2,2,3,16.5,Legal – Supervised,VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
New Zealand,Asia-Pacific,TIER 2,2,3,2,3,3,16.5,Legal – Regulated,Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Cayman Islands,Caribbean,TIER 2,1,3,2,2,4,16.5,Legal – Offshore,VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Gibraltar,Europe – Other,TIER 2,1,4,2,3,3,16.0,Legal – Regulated,Advanced AML/transaction monitoring | Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Jordan,Middle East,TIER 3,3,1,2,2,3,15.5,Restricted,Market education / monitoring,"Monitor & educate – Framework watch, early-mover compliance advisory"
Uzbekistan,Central Asia,TIER 2,2,2,2,2,3,15.0,Legal – Regulated,Travel Rule infrastructure | VASP licensing support,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Saudi Arabia,Middle East,TIER 3,2,1,3,2,3,14.5,Restricted,VASP licensing support | CBDC compliance readiness,"Monitor & educate – Framework watch, early-mover compliance advisory"
Kenya,Sub-Saharan Africa,TIER 2,3,1,1,1,3,14.5,Legal – Gray Zone,Market education / monitoring,"Active prospecting – AML tools, VASP registration support, market entry advisory"
Venezuela,Latin America,TIER 3,2,2,1,2,3,14.0,Legal – Gray Zone,VASP licensing support,"Monitor & educate – Framework watch, early-mover compliance advisory"
Morocco,Africa – N.Africa,TIER 4,2,2,3,3,2,14.0,Total Ban (reviewing),Market education / monitoring,Watch list – Early regulatory signals; prepare for transition
Panama,Latin America,TIER 3,2,2,1,1,3,14.0,Legal – Gray Zone,VASP licensing support,"Monitor & educate – Framework watch, early-mover compliance advisory"
China,Asia-Pacific,TIER 5,3,1,5,5,1,12.5,Total Ban,Enforcement defense & regulatory advisory | CBDC compliance readiness | Complex multi-regulator navigation,Avoid / No direct market activity (banned jurisdiction)
Peru,Latin America,TIER 3,2,1,1,1,3,12.5,Legal – Gray Zone,Market education / monitoring,"Monitor & educate – Framework watch, early-mover compliance advisory"
Qatar,Middle East,TIER 4,1,2,3,2,2,12.0,Partial Ban,VASP licensing support,Watch list – Early regulatory signals; prepare for transition
Seychelles,Indian Ocean,TIER 3,1,2,1,1,3,12.0,Legal – Light-touch,VASP licensing support,"Monitor & educate – Framework watch, early-mover compliance advisory"
Cambodia,Southeast Asia,TIER 4,1,2,2,2,2,11.0,Legal – Emerging,VASP licensing support,Watch list – Early regulatory signals; prepare for transition
Egypt,Middle East,TIER 5,1,1,4,3,1,9.5,Total Ban,Enforcement defense & regulatory advisory | CBDC compliance readiness,Avoid / No direct market activity (banned jurisdiction)
Kuwait,Middle East,TIER 5,1,1,3,2,1,8.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Tanzania,Sub-Saharan Africa,TIER 4,1,1,1,1,2,8.5,Restricted,Market education / monitoring,Watch list – Early regulatory signals; prepare for transition
Algeria,Africa – N.Africa,TIER 5,1,1,5,5,1,8.5,Total Ban + Criminal,Enforcement defense & regulatory advisory | Complex multi-regulator navigation,Avoid / No direct market activity (banned jurisdiction)
Bangladesh,South Asia,TIER 5,1,1,3,3,1,8.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Sri Lanka,South Asia,TIER 4,1,1,1,1,2,8.5,Legal – Gray Zone,Market education / monitoring,Watch list – Early regulatory signals; prepare for transition
Ghana,Sub-Saharan Africa,TIER 5,1,1,2,2,1,7.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Tunisia,Africa – N.Africa,TIER 5,1,1,2,2,1,7.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Nepal,South Asia,TIER 5,1,1,2,2,1,7.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Iraq,Middle East,TIER 5,1,1,2,2,1,7.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
North Macedonia,Europe – Other,TIER 5,1,1,2,2,1,7.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Bolivia,Latin America,TIER 5,1,1,2,2,1,7.5,Partial Ban (easing),Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Myanmar,Southeast Asia,TIER 5,1,1,1,1,1,6.5,Restricted,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
Afghanistan,Central Asia,TIER 5,1,1,1,1,1,6.5,Total Ban,Market education / monitoring,Avoid / No direct market activity (banned jurisdiction)
